Dataset,SlowStart,Total_Time(s),Avg_CPU(%),GC_Time(s)
100mb,0.2,196.0,63.891304347826086,37.761
100mb,0.5,183.0,74.0952380952381,35.443
100mb,0.8,189.0,56.375,36.553
100mb,1.0,176.0,67.4390243902439,35.816
1G,0.2,867.0,96.66120218579235,368.831
1G,0.5,872.0,94.68449197860963,374.744
1G,0.8,878.0,92.51977401129943,383.3
1G,1.0,937.0,88.95744680851064,389.256
500mb,0.2,670.0,82.11851851851851,212.943
500mb,0.5,684.0,77.22377622377623,173.448
500mb,0.8,649.0,75.56834532374101,170.087
500mb,1.0,642.0,78.97014925373135,164.599
5G,0.2,4493.0,98.21629213483146,1980.651
5G,0.5,6112.0,84.15058823529412,1649.114
5G,0.8,6127.0,68.43648473034438,1801.625
5G,1.0,6159.0,87.90211433046203,1680.829
